ied,motion,ac_y
-14251586.0,62.65707248568992,-719320.074393043
-14251067.0,49.785127921365756,-720126.8736491125
-14250983.0,39.463631324186736,-720925.6049126214
-14253210.0,20.819110285623083,-721716.3488634952
-14251751.0,12.658251260985253,-722499.1853748602
-14251919.0,43.84339737760456,-723274.1935211116
-14252831.0,46.9672791296332,-724041.4515859005
-14254388.0,43.39304365193129,-724801.0370700415
-14254673.0,45.6189440700025,-725553.0266993411
-14254542.0,49.49652362472352,-726297.4964323477
-14253999.0,58.547005015257355,-727034.5214680242
-14251922.0,28.315751349824723,-727764.1762533439
-14251583.0,21.181002611446047,-728486.5344908105
-14250265.0,36.11928347634148,-729201.6691459024
-14248870.0,50.18311864918337,-729909.6524544434
-14247981.0,44.633644973621585,-730610.555929899
-14248092.0,46.271173254022415,-731304.4503706
-14247047.0,34.8254833987271,-731991.4058668939
-14244810.0,49.93934791114134,-732671.491808225
-14244075.0,57.7750415746134,-733344.7768901428
-14244428.0,37.4339412630859,-734011.3291212413
-14244651.0,47.90203155656968,-734671.2158300289
-14244473.0,18.661710391344286,-735324.5036717285
-14243656.0,25.68622123122168,-735971.2586350113
-14243734.0,51.89510971857658,-736611.5460486611
-14243975.0,43.06178144612045,-737245.4305881745
-14243389.0,34.83905658000094,-737872.9762822927
-14243071.0,20.515770060275372,-738494.2465194698
-14244495.0,14.046545562356869,-738533.387387609
-14243703.0,6.417330026083846,-737902.886847065
-14243239.0,11.000519105987678,-736585.8579785943
-14243579.0,17.137307427237374,-734631.1660654763
-14245283.0,16.96593435296495,-732039.6877381536
-14244350.0,16.79627500943525,-728807.45752744
-14244878.0,16.628312259340873,-724994.7996188317
-14246565.0,16.46202913674756,-720597.6016226434
-14246873.0,16.297408845380232,-715611.4589397509
-14247137.0,16.134434756926566,-710115.3443503533
-14247179.0,13.455774279429534,-704033.1909068498
-14247104.0,36.16894757677096,-697364.4423311134
-14247289.0,39.09442783422992,-690674.3812411362
-14247289.0,32.81273925113305,-684057.304095391
-14245766.0,33.796925509627044,-677532.564387771
-14246322.0,25.713858525764863,-671050.9887438932
-14247081.0,27.044515994457697,-664621.9788564543
-14246496.0,35.49682159255781,-658208.5090678897
-14246536.0,23.739560615219943,-651805.2573105447
-14248001.0,32.15137595752594,-645425.3714041053
-14248610.0,28.981679574797226,-639120.9510233982
-14248672.0,22.56567222556805,-632849.4081798303
-14247548.0,19.248978389591684,-626614.9140980319
-14248280.0,24.722129182268645,-620446.7649570516
-14248744.0,22.31857277526069,-614365.047307481
-14250737.0,10.961547852864669,-608345.8135010722
-14249772.0,39.98849002081943,-602392.7720327295
-14251322.0,24.833989578482033,-596591.1776457343
-14251721.0,26.548854034309443,-590929.9325359449
-14252630.0,24.670193352447313,-585422.7998772515
-14253085.0,20.94396133459827,-580003.988545145
-14251571.0,6.383996941017585,-574636.0319930275
-14254467.0,6.894882992730572,-569352.0883397633
-14253896.0,21.45553312389461,-564082.2341230336
-14255736.0,32.068698115297366,-558932.6617818032
-14256430.0,43.159797318953906,-553858.9184973172
-14257129.0,33.88710364266353,-548914.162645678
-14257349.0,26.326585735104345,-544071.5210192213
-14256516.0,30.967331822777624,-539278.4724756951
-14257288.0,5.203301620910679,-534498.7710842721
-14259398.0,8.674863964073438,-529699.7000400954
-14259796.0,23.442605840726856,-524904.9530396945
-14259344.0,10.159662625562987,-520291.1535092975
-14260241.0,14.064167148187835,-515727.99197420455
-14261207.0,23.94385749965204,-511167.87872113043
-14262018.0,20.481930530431782,-506652.5332672512
-14261658.0,20.493966208752454,-502195.2579345787
-14262787.0,26.933248980219105,-497772.5553552329
-14264239.0,21.298838374739717,-493318.3298016806
-14264452.0,14.89716846090937,-488914.8965036638
-14264535.0,24.378765415656744,-484669.3308719611
-14265040.0,17.012160497712784,-480432.8875632415
-14267001.0,34.0236789587284,-476232.4753542751
-14266255.0,33.683442169141244,-472111.0672674002
-14268182.0,33.34660774744998,-467965.87326139223
-14268574.0,33.01314166997554,-463919.7978621123
-14269082.0,32.683010253275825,-459979.43321682326
-14270008.0,32.35618015074306,-456074.05555132293
-14270324.0,13.248447534813522,-452169.5649958097
-14270792.0,7.637543563746476,-448343.7026791837
-14271468.0,4.510733964044448,-444552.43231905974
-14271958.0,10.124279204453387,-440773.9913292012
